objID,RA,DEC,PGC,HUBBLE,TYPE
1237645879023829147,10.9661667,0.8019444,PGC  2615,.SBS1P?,1.0
1237645879026254109,16.530158,0.776335,PGC  3904,.I..9*.,10.0
1237645879027171435,18.5658333,0.7653333,PGC  4454,.SB?...,-99.0
1237645879029530695,24.000625,0.6635278,PGC  5939,.SBT3..,3.3
1237645879031627857,28.726,0.8111944,PGC  7116,.S?....,-99.0
1237645879036149882,39.0984167,0.7085278,PGC  9894,.S..5P/,4.5
1237645879037001822,41.087913,0.675381,PGC 10381,.I..9*.,10.0
1237645879037853837,42.9774583,0.6648056,PGC 10857,.S..4..,4.0
1237645879038312556,43.9885833,0.6926111,PGC 11075,.SBT1P*,1.0
1237645879548510351,343.094208,1.092528,PGC 69889,.S..1P/,0.5
1237645879548575753,343.194575,1.1327889,PGC 69904,.SBT0..,0.0
1237645879548575773,343.205287,1.201113,PGC 69905,.SAR1*.,0.5
1237645879548575940,343.268682,1.144472,PGC 69914,.L...P*,-2.0
1237645879553229046,353.915122,1.198105,PGC 71837,.SBS9*.,9.3
1237645879553753204,355.0864583,1.2458611,PGC 72073,.S..0..,0.0
1237645879561355383,12.398875,1.11525,PGC  2889,.S..6*/,5.5
1237645879563321509,16.943496,1.063739,PGC  4013,.S?....,-99.0
1237645879564107787,18.657792,1.180167,PGC  4485,.S..6*.,6.0
1237645879564304592,19.149504,1.202253,PGC  4608,.S..9*.,9.0
1237645879566729309,24.6974167,1.0718056,PGC  6090,.L..0..,-2.0
1237645879569940550,32.0840417,1.1842778,PGC  8157,.S?....,-99.0
1237645879570202771,32.594117,1.200866,PGC  8302,.I..9*.,10.0
1237645879570923535,34.2699167,1.2441944,PGC  8718,.L..+*.,-0.7
1237645879571972101,36.617875,1.1605278,PGC  9283,.E.....,-5.0
1237645879572299813,37.4849583,1.1790833,PGC  9514,.L...*.,-2.0
1237645879572430959,37.7984167,1.2656389,PGC  9588,.E.....,-5.0
1237645879572561925,37.9907083,1.2465,PGC  9642,.LAT-*.,-3.0
1237645879573348414,39.848625,1.093778,PGC 10060,.S..0./,0.0
1237645879573479472,40.098827,1.228714,PGC 10117,.IBS9..,10.0
1237645879575183454,43.953663,1.079369,PGC 11067,.S..6*.,6.0
1237645879576166556,46.287625,1.0935556,PGC 11598,.S..7*/,7.0
1237645879579771135,54.56162,1.17323,PGC 13406,.S..3P?,3.0
1237645941286043696,36.906083,-1.156278,PGC  9359,.LBT+..,-1.0
1237645941286109279,37.116042,-1.151528,PGC  9414,.SXT5..,5.0
